subject,age,sex,room_condition
1,40,M,Controlled environment
2,22,M,Controlled environment
3,26,M,Controlled environment
4,25,M,Controlled environment
5,19,F,Controlled environment
6,57,F,Controlled environment
7,21,M,Controlled environment
8,35,M,Controlled environment
9,32,M,Controlled environment
10,20,M,Controlled environment
11,18,F,Controlled environment
12,36,M,Controlled environment
13,25,M,Controlled environment
14,29,F,Controlled environment
15,23,M,Controlled environment
16,24,M,Controlled environment
17,18,M,Controlled environment
18,23,M,Controlled environment
19,54,M,Controlled environment
20,22,M,Controlled environment
21,24,F,Controlled environment
22,27,M,Controlled environment
23,30,M,Controlled environment
24,19,M,Controlled environment
25,33,M,Controlled environment
26,19,F,Controlled environment
27,20,M,Controlled environment
28,24,M,Controlled environment
29,23,M,Controlled environment
30,25,M,Controlled environment
